genome_id	coverage	uniq_abundance	multi_abundance	total_abundance	total_abundance_pmkb
12718_7_44	0.07107264138308711	0.00036532100918351104	0.0	0.00036532100918351104	0.05876322968192971
GCF_000238035.1	1.460578412112961e-05	1.921813700148633e-07	0.0	1.921813700148633e-07	3.0913081106426155e-05
GCF_000188175.1	0.35068856346556054	0.0017941010973847689	0.0	0.0017941010973847689	0.28858776858700796
GCF_000723585.1	0.0	0.0	0.0	0.0	0.0
UMGS491	0.003772744404369347	1.9861527323077533e-05	0.0	1.9861527323077533e-05	0.003194799813261346
UMGS1633	0.001124901803509921	6.71428991993984e-06	0.0	6.71428991993984e-06	0.001080018260100379
20298_3_43	0.1346211947593613	0.0007067993825312502	0.0	0.0007067993825312502	0.11369128358524365
GCF_000220865.1	0.0004631839695411968	2.910818347470208e-06	0.0	2.910818347470208e-06	0.0004682158507583781
UMGS1203	0.00357007256932347	1.954597628975346e-05	0.0	1.954597628975346e-05	0.003144042267482537
UMGS1763	0.0002636378764099569	1.3051380020294897e-06	0.0	1.3051380020294897e-06	0.00020993625401201086
20287_6_40	0.02336734535524042	0.00012159545016933984	0.0	0.00012159545016933984	0.019559075955002767
UMGS1006	0.0	0.0	0.0	0.0	0.0
GCF_000158555.2	0.05602469576753323	0.0002857361532770365	0.0	0.0002857361532770365	0.04596171252503873
12718_7_59	0.0	0.0	0.0	0.0	0.0
GCF_000210615.1	0.08778492436761154	0.0004520147451379179	0.0	0.0004520147451379179	0.07270823637415176
UMGS2067	1.1807902501319838	0.006286914010545904	0.0	0.006286914010545904	1.011273271192216
UMGS2014	0.0044704843796849044	2.273418462131068e-05	0.0	2.273418462131068e-05	0.0036568773187155967
UMGS1323	0.01850369998673092	0.0001071956064866669	0.0	0.0001071956064866669	0.017242808068849702
UMGS236	0.0023474996804146477	1.2396037916380977e-05	0.0	1.2396037916380977e-05	0.001993948349300363
UMGS206	0.19611817191386585	0.0011440305315455446	0.0	0.0011440305315455446	0.18402152407988392
12718_7_86	0.026945367229575943	0.0001389454894122047	0.0	0.0001389454894122047	0.022349893661593564
20298_3_30	0.12222564045695439	0.0006310816506973497	0.0	0.0006310816506973497	0.10151180757674727
21673_4_31	0.2254717471657381	0.0011416319768332243	0.0	0.0011416319768332243	0.18363570772133456
20287_6_65	0.016263014784522425	8.384341420010575e-05	0.0	8.384341420010575e-05	0.013486521941263591
UMGS701	0.0	0.0	0.0	0.0	0.0
UMGS381	4.552814450723221e-05	4.5077370799239815e-07	0.0	4.5077370799239815e-07	7.25086109789713e-05
UMGS2035	0.0	0.0	0.0	0.0	0.0
UMGS64	2.5697054011024183	0.013250752896550514	0.0	0.013250752896550514	2.131432401489266
UMGS1011	0.042594730731039074	0.00022668887277602217	0.0	0.00022668887277602217	0.03646374000511871
UMGS1342	1.1187827519321767	0.006019483492147803	0.0	0.006019483492147803	0.9682560874509683
UMGS220	0.0318426092348406	0.00017153854182127705	0.0	0.00017153854182127705	0.027592606170874397
UMGS890	0.0	0.0	0.0	0.0	0.0
UMGS2005	0.007747891978430301	4.0564879468221474e-05	0.0	4.0564879468221474e-05	0.006525010249310577
UMGS99	0.0026332013987264624	1.411904235242071e-05	0.0	1.411904235242071e-05	0.0022710999580848614
GCF_001407835.1	0.00011024305318681558	1.091515378087283e-06	0.0	1.091515378087283e-06	0.00017557426825042392
UMGS1908	0.0011668996926416887	7.0792701272498805e-06	0.0	7.0792701272498805e-06	0.001138726670545902
UMGS691	0.0012908083422733582	8.858006161235397e-06	0.0	8.858006161235397e-06	0.0014248429121007647
UMGS1834	0.0009514737307861635	4.990246839787571e-06	0.0	4.990246839787571e-06	0.0008026995815854014
GCF_000155855.1	0.10525253886140395	0.0005372605195081375	0.0	0.0005372605195081375	0.08642033311320037
UMGS1133	0.0004984577421344848	2.8201286683704945e-06	0.0	2.8201286683704945e-06	0.000453628081895515
UMGS396	0.00024132911652516656	1.4336383159910886e-06	0.0	1.4336383159910886e-06	0.00023060600273629625
UMGS1215	0.03856291399886604	0.00021665076357870185	0.0	0.00021665076357870185	0.034849073173739975
13414_6_6	0.12729686635360093	0.0006541810220295956	0.0	0.0006541810220295956	0.10522742652277699
GCF_000011045.1	5.124705038283876e-05	3.3277305443401793e-07	0.0	3.3277305443401793e-07	5.352777129727175e-05
UMGS1259	0.0012656086343711072	7.004219773020177e-06	0.0	7.004219773020177e-06	0.0011266545446827687
UMGS212	0.0009244699999070723	4.4861629111608365e-06	0.0	4.4861629111608365e-06	0.0007216158252937328
UMGS333	0.0068990457023504915	3.51696584322773e-05	0.0	3.51696584322773e-05	0.005657169076889235
13414_6_58	0.0074907666658689705	3.9485964534424585e-05	0.0	3.9485964534424585e-05	0.006351462808927473
UMGS448	0.0003801753434801582	1.8890700297150716e-06	0.0	1.8890700297150716e-06	0.00030386387109106595
18391_1_6	0.029522466710441852	0.00015379642326617557	0.0	0.00015379642326617557	0.024738721063013714
20287_6_2	1.5104956265169451e-05	0.0	0.0	0.0	0.0
8080_1_78	0.033315627397864686	0.00017656851474152994	0.0	0.00017656851474152994	0.02840169583880047
UMGS779	0.0	0.0	0.0	0.0	0.0
GCF_000209405.1	0.032434892258907014	0.0001702896784571691	0.0	0.0001702896784571691	0.02739172189961268
UMGS169	0.007209034702823143	3.849354181316219e-05	0.0	3.849354181316219e-05	0.0061918279594523565
20298_2_4	0.0021103870303868424	1.0968282190173449e-05	0.0	1.0968282190173449e-05	0.0017642885827943583
GCF_900119705.1	0.004915371964312102	2.692207137220601e-05	0.0	2.692207137220601e-05	0.004330514325179555
UMGS1987	0.020376657005938086	0.00012520219358487302	0.0	0.00012520219358487302	0.020139233915817713
GCF_000345005.2	0.0	0.0	0.0	0.0	0.0
UMGS642	0.00042118280480404197	2.205145574890272e-06	0.0	2.205145574890272e-06	0.00035470578653273003
14207_7_18	0.07560385754931755	0.00040191452433312283	0.0	0.00040191452433312283	0.06464943135538898
UMGS702	0.5423345798180009	0.0027695906863648085	0.0	0.0027695906863648085	0.44549886137546124
18048_1_70	1.7106008535817767	0.00911744318528886	0.0	0.00911744318528886	1.4665743128393187
UMGS1341	0.00805397096705029	4.3787993634131686e-05	0.0	4.3787993634131686e-05	0.0070434600325457964
GCF_000527255.1	4.9111184804902173e-05	2.4312467725199097e-07	0.0	2.4312467725199097e-07	3.910749968263423e-05
12718_7_76	0.062322497490964746	0.00031889126383300635	0.0	0.00031889126383300635	0.05129483415711968
14207_7_58	0.7135602226151014	0.003645696970481943	0.0	0.003645696970481943	0.5864237835813338
GCF_000752035.1	9.374487332723991e-05	4.6408353132296986e-07	0.0	4.6408353132296986e-07	7.464954507730947e-05
